id,event_date,event_name,weight_class,winner,red_fighter,blue_fighter,red_height_cm,blue_height_cm,red_reach_cm,blue_reach_cm,red_age,blue_age,red_odds,blue_odds,red_avg_td_landed,blue_avg_td_landed,height_diff,reach_diff,avg_td_diff,red_win
64,2024-10-26,,Featherweight,Red,Ilia Topuria,Max Holloway,170.18,180.34,175.26,175.26,27,32,-305.0,245.0,2.02,0.25,-10.159999999999997,0.0,1.77,1
65,2024-10-26,,Middleweight,Blue,Robert Whittaker,Khamzat Chimaev,182.88,187.96,185.42,190.5,33,30,200.0,-245.0,0.8,4.31,-5.0800000000000125,-5.0800000000000125,-3.51,0
66,2024-10-26,,Light Heavyweight,Red,Magomed Ankalaev,Aleksandar Rakic,190.5,193.04,190.5,198.12,32,32,-340.0,270.0,0.92,0.66,-2.539999999999992,-7.6200000000000045,0.26,1
67,2024-10-26,,Featherweight,Red,Lerone Murphy,Dan Ige,175.26,170.18,185.42,180.34,33,33,-340.0,270.0,1.78,0.99,5.079999999999984,5.079999999999984,0.79,1
68,2024-10-26,,Middleweight,Red,Shara Magomedov,Armen Petrosyan,187.96,190.5,185.42,180.34,30,33,-166.0,140.0,0.0,0.19,-2.539999999999992,5.079999999999984,-0.19,1
69,2024-10-26,,Light Heavyweight,Red,Ibo Aslan,Rafael Cerqueira,190.5,190.5,195.58,193.04,28,34,-108.0,-112.0,0.0,0.0,0.0,2.5400000000000205,0.0,1
70,2024-10-26,,Welterweight,Red,Geoff Neal,Rafael Dos Anjos,180.34,172.72,190.5,177.8,34,40,-245.0,200.0,0.56,1.95,7.6200000000000045,12.699999999999989,-1.39,1
71,2024-10-26,,Catch Weight,Red,Mateusz Rebecki,Myktybek Orolbai,170.18,177.8,167.64,187.96,31,26,215.0,-265.0,3.84,5.36,-7.6200000000000045,-20.32000000000002,-1.5200000000000005,1
72,2024-10-26,,Middleweight,Red,Abus Magomedov,Brunno Ferreira,187.96,177.8,198.12,182.88,34,31,-155.0,130.0,3.12,0.5,10.159999999999997,15.240000000000009,2.62,1
73,2024-10-26,,Heavyweight,Red,Kennedy Nzechukwu,Chris Barnett,195.58,175.26,210.82,190.5,32,38,-800.0,550.0,0.58,0.0,20.32000000000002,20.319999999999993,0.58,1
74,2024-10-26,,Featherweight,Red,Farid Basharat,Victor Hugo,172.72,170.18,180.34,180.34,27,31,-575.0,425.0,3.97,0.81,2.539999999999992,0.0,3.16,1
75,2024-10-26,,Middleweight,Red,Ismail Naurdiev,Bruno Silva,177.8,182.88,187.96,187.96,28,35,-148.0,124.0,1.6,0.78,-5.079999999999984,0.0,0.8200000000000001,1
76,2024-10-26,,Welterweight,Red,Rinat Fakhretdinov,Carlos Leal,182.88,180.34,187.96,187.96,33,30,-218.0,180.0,3.95,1.0,2.539999999999992,0.0,2.95,1
77,2024-10-19,,Middleweight,Red,Anthony Hernandez,Michel Pereira,182.88,185.42,190.5,185.42,31,31,-162.0,136.0,6.64,1.27,-2.539999999999992,5.0800000000000125,5.369999999999999,1
78,2024-10-19,,Bantamweight,Red,Rob Font,Kyler Phillips,172.72,172.72,180.34,182.88,37,29,455.0,-625.0,0.84,2.63,0.0,-2.539999999999992,-1.79,1
79,2024-10-19,,Flyweight,Red,Charles Johnson,Sumudaerji,175.26,172.72,177.8,182.88,33,28,-305.0,245.0,0.56,0.23,2.539999999999992,-5.079999999999984,0.33000000000000007,1
80,2024-10-19,,Bantamweight,Blue,Jake Hadley,Cameron Smotherman,170.18,175.26,177.8,175.26,28,27,-575.0,425.0,0.33,0.0,-5.079999999999984,2.5400000000000205,0.33,0
81,2024-10-19,,Featherweight,Red,Darren Elkins,Daniel Pineda,177.8,170.18,180.34,175.26,40,39,-170.0,142.0,2.86,1.42,7.6200000000000045,5.0800000000000125,1.44,1
82,2024-10-19,,Flyweight,Blue,Matheus Nicolau,Asu Almabayev,167.64,162.56,167.64,165.1,31,30,205.0,-250.0,1.22,5.08,5.079999999999984,2.539999999999992,-3.8600000000000003,0
83,2024-10-19,,Bantamweight,Blue,Brad Katona,Jean Matsumoto,167.64,167.64,162.56,172.72,32,25,170.0,-205.0,1.88,1.13,0.0,-10.159999999999997,0.75,0
84,2024-10-19,,Women's Bantamweight,Red,Joselyne Edwards,Tamires Vidal,172.72,167.64,177.8,172.72,29,26,-258.0,210.0,1.23,0.0,5.0800000000000125,5.0800000000000125,1.23,1
85,2024-10-19,,Women's Strawweight,Blue,Jessica Penne,Elise Reed,165.1,160.02,170.18,160.02,41,31,190.0,-230.0,1.29,0.49,5.079999999999984,10.159999999999997,0.8,0
86,2024-10-19,,Women's Strawweight,Red,Melissa Martinez,Alice Ardelean,157.48,160.02,167.64,157.48,27,32,-155.0,130.0,0.5,1.0,-2.5400000000000205,10.159999999999997,-0.5,1
87,2024-10-19,,Heavyweight,Red,Austen Lane,Robelis Despaigne,198.12,200.66,203.2,213.36,36,36,330.0,-425.0,2.03,0.0,-2.539999999999992,-10.160000000000025,2.03,1
88,2024-10-12,,Flyweight,Red,Brandon Royval,Tatsuro Taira,175.26,170.18,172.72,177.8,32,24,,,0.75,2.73,5.079999999999984,-5.0800000000000125,-1.98,1
89,2024-10-12,,Middleweight,Blue,Brad Tavares,JunYong Park,185.42,177.8,187.96,185.42,36,33,,,0.74,1.85,7.619999999999976,2.5400000000000205,-1.11,0
90,2024-10-12,,Welterweight,Red,Chidi Njokuani,Jared Gooden,190.5,182.88,203.2,195.58,35,30,,,0.0,0.91,7.6200000000000045,7.619999999999976,-0.91,1
91,2024-10-12,,Lightweight,Red,Grant Dawson,Rafa Garcia,177.8,170.18,182.88,177.8,30,30,-380.0,300.0,3.65,3.38,7.6200000000000045,5.079999999999984,0.27,1
92,2024-10-12,,Welterweight,Red,Daniel Rodriguez,Alex Morono,185.42,180.34,187.96,182.88,37,34,-245.0,200.0,0.59,0.34,5.079999999999984,5.0800000000000125,0.24999999999999994,1
93,2024-10-12,,Flyweight,Blue,CJ Vergara,Ramazan Temirov,167.64,162.56,172.72,160.02,33,27,240.0,-298.0,0.0,0.0,5.079999999999984,12.699999999999989,0.0,0
94,2024-10-12,,Featherweight,Blue,Jonathan Pearce,Pat Sabatini,182.88,172.72,180.34,177.8,32,33,-180.0,150.0,5.02,3.97,10.159999999999997,2.539999999999992,1.0499999999999994,0
95,2024-10-12,,Welterweight,Red,Themba Gorimbo,Niko Price,185.42,182.88,195.58,193.04,33,35,-290.0,235.0,4.89,1.04,2.539999999999992,2.5400000000000205,3.8499999999999996,1
96,2024-10-12,,Heavyweight,Red,Junior Tafa,Sean Sharaf,190.5,190.5,190.5,195.58,28,31,-238.0,195.0,0.0,2.07,0.0,-5.0800000000000125,-2.07,1
97,2024-10-12,,Women's Strawweight,Red,Julia Polastri,Cory McKenna,157.48,160.02,160.02,147.32,26,25,-108.0,-112.0,1.11,2.0,-2.5400000000000205,12.700000000000017,-0.8899999999999999,1
98,2024-10-12,,Bantamweight,Blue,Dan Argueta,Cody Haddon,170.18,170.18,172.72,175.26,31,26,124.0,-148.0,4.36,2.48,0.0,-2.539999999999992,1.8800000000000003,0
99,2024-10-12,,Flyweight,Red,Clayton Carpenter,Lucas Rocha,167.64,160.02,167.64,162.56,28,24,-245.0,200.0,2.95,0.0,7.619999999999976,5.079999999999984,2.95,1
100,2024-10-05,,Light Heavyweight,Red,Alex Pereira,Khalil Rountree Jr.,193.04,185.42,200.66,193.04,37,34,-425.0,330.0,0.14,0.0,7.6200000000000045,7.6200000000000045,0.14,1
101,2024-10-05,,Women's Bantamweight,Blue,Raquel Pennington,Julianna Pena,170.18,167.64,170.18,175.26,36,35,-155.0,130.0,0.83,1.81,2.5400000000000205,-5.079999999999984,-0.9800000000000001,0
102,2024-10-05,,Bantamweight,Blue,Jose Aldo,Mario Bautista,170.18,175.26,177.8,175.26,38,31,102.0,-122.0,0.49,1.92,-5.079999999999984,2.5400000000000205,-1.43,0
103,2024-10-05,,Middleweight,Red,Roman Dolidze,Kevin Holland,187.96,190.5,193.04,205.74,36,31,124.0,-148.0,1.33,0.83,-2.539999999999992,-12.700000000000017,0.5000000000000001,1
104,2024-10-05,,Women's Bantamweight,Blue,Ketlen Vieira,Kayla Harrison,172.72,172.72,172.72,167.64,33,34,700.0,-1100.0,1.39,2.75,0.0,5.0800000000000125,-1.36,0
105,2024-10-05,,Welterweight,Blue,Stephen Thompson,Joaquin Buckley,182.88,177.8,190.5,193.04,41,30,185.0,-225.0,0.25,1.96,5.079999999999984,-2.539999999999992,-1.71,0
106,2024-10-05,,Women's Strawweight,Blue,Marina Rodriguez,Iasmin Lucindo,167.64,160.02,165.1,167.64,37,22,154.0,-185.0,0.28,2.4,7.619999999999976,-2.539999999999992,-2.12,0
107,2024-10-05,,Lightweight,Blue,Austin Hubbard,Alexander Hernandez,177.8,175.26,180.34,182.88,32,32,-112.0,-108.0,1.54,0.95,2.5400000000000205,-2.539999999999992,0.5900000000000001,0
108,2024-10-05,,Middleweight,Red,Cesar Almeida,Ihor Potieria,185.42,190.5,187.96,190.5,36,28,-500.0,380.0,0.0,0.77,-5.0800000000000125,-2.539999999999992,-0.77,1
109,2024-10-05,,Light Heavyweight,Red,Ryan Spann,Ovince Saint Preux,195.58,190.5,200.66,203.2,33,41,,,1.32,1.09,5.0800000000000125,-2.539999999999992,0.22999999999999998,1
110,2024-10-05,,Women's Strawweight,Blue,Carla Esparza,Tecia Pennington,154.94,154.94,160.02,152.4,36,35,,,3.28,0.57,0.0,7.6200000000000045,2.71,0
111,2024-10-05,,Welterweight,Red,Court McGee,Tim Means,180.34,187.96,190.5,190.5,39,40,,,1.87,1.14,-7.6200000000000045,0.0,0.7300000000000002,1
112,2024-09-28,,Lightweight,Red,Renato Moicano,Benoit Saint Denis,180.34,180.34,182.88,185.42,35,28,210.0,-258.0,1.87,3.97,0.0,-2.539999999999992,-2.1,1
113,2024-09-28,,Middleweight,Red,Nassourdine Imavov,Brendan Allen,190.5,187.96,190.5,190.5,29,28,-225.0,185.0,0.88,1.67,2.539999999999992,0.0,-0.7899999999999999,1
114,2024-09-28,,Featherweight,Red,William Gomis,Joanderson Brito,182.88,172.72,185.42,182.88,27,29,245.0,-305.0,0.78,3.08,10.159999999999997,2.539999999999992,-2.3,1
115,2024-09-28,,Welterweight,Blue,Kevin Jousset,Bryan Battle,187.96,185.42,190.5,195.58,31,30,160.0,-192.0,1.05,0.96,2.5400000000000205,-5.0800000000000125,0.09000000000000008,0
116,2024-09-28,,Featherweight,Red,Morgan Charriere,Gabriel Miranda,172.72,180.34,175.26,180.34,28,34,-520.0,390.0,2.47,3.85,-7.6200000000000045,-5.0800000000000125,-1.38,1
117,2024-09-28,,Lightweight,Red,Fares Ziam,Matt Frevola,185.42,175.26,190.5,180.34,27,34,-125.0,105.0,1.28,2.39,10.159999999999997,10.159999999999997,-1.11,1
118,2024-09-28,,Light Heavyweight,Red,Ion Cutelaba,Ivan Erslan,185.42,187.96,190.5,182.88,30,32,-102.0,-118.0,4.04,1.0,-2.5400000000000205,7.6200000000000045,3.04,1
119,2024-09-28,,Light Heavyweight,Red,Oumar Sy,Da Woon Jung,193.04,193.04,210.82,198.12,28,30,-625.0,455.0,3.21,1.59,0.0,12.699999999999989,1.6199999999999999,1
120,2024-09-28,,Lightweight,Red,Ludovit Klein,Roosevelt Roberts,170.18,187.96,182.88,185.42,29,30,-950.0,625.0,1.7,1.18,-17.78,-2.539999999999992,0.52,1
